Region Name,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01,Median_Columns
"Chautauqua County, KS",34772.0,35952.0,35714.0,38973.0,39120.0,42324.0,40859.0,41890.0,41129.0,43664.0,43155.0,
"Cherokee County, KS",36204.0,39696.0,39938.0,40310.0,40686.0,39842.0,41140.0,42469.0,44475.0,47682.0,48336.0,
"Cheyenne County, KS",35730.0,36835.0,40810.0,39317.0,41797.0,44111.0,42649.0,42247.0,43274.0,47323.0,50623.0,
"Clark County, KS",41715.0,42171.0,43310.0,42866.0,47650.0,50392.0,51280.0,51621.0,51235.0,59085.0,58365.0,
"Clay County, KS",46421.0,47692.0,47736.0,48178.0,53131.0,51351.0,50291.0,50634.0,52681.0,52781.0,53119.0,
"Cloud County, KS",37539.0,39763.0,40184.0,40663.0,42697.0,42730.0,42431.0,46241.0,44467.0,46299.0,55001.0,
"Coffey County, KS",49727.0,54644.0,50826.0,53487.0,55705.0,57160.0,57224.0,57021.0,58371.0,62715.0,59142.0,
"Comanche County, KS",38207.0,39975.0,42851.0,44076.0,45353.0,43809.0,44898.0,46636.0,46818.0,47854.0,49314.0,
"Cowley County, KS",39155.0,40248.0,37436.0,42341.0,45180.0,47851.0,45907.0,46703.0,47864.0,51537.0,51398.0,
"Crawford County, KS",35407.0,34080.0,35365.0,36958.0,38491.0,38139.0,39521.0,39461.0,43852.0,42723.0,46714.0,
"Decatur County, KS",37081.0,37986.0,40168.0,37789.0,41434.0,43919.0,41095.0,42077.0,44774.0,46878.0,48189.0,
"Dickinson County, KS",45037.0,46894.0,47962.0,49033.0,47493.0,47570.0,50268.0,52562.0,50605.0,58066.0,56755.0,
"Doniphan County, KS",45202.0,43092.0,44524.0,46338.0,47599.0,47000.0,47320.0,48553.0,50949.0,52596.0,57012.0,
"Douglas County, KS",47335.0,47930.0,48813.0,51221.0,49246.0,52447.0,55446.0,56007.0,57120.0,62559.0,65149.0,
"Edwards County, KS",41800.0,43874.0,44028.0,45687.0,49256.0,46380.0,46825.0,47725.0,46962.0,49047.0,51756.0,
"Elk County, KS",32619.0,34174.0,34857.0,37537.0,36471.0,39147.0,40227.0,39556.0,37360.0,41930.0,45974.0,
"Ellis County, KS",42409.0,41774.0,45969.0,47454.0,49508.0,49192.0,52265.0,49715.0,53840.0,51237.0,55505.0,
"Ellsworth County, KS",41622.0,46927.0,48874.0,48030.0,46961.0,49986.0,50403.0,51355.0,50261.0,56988.0,53443.0,
"Finney County, KS",46697.0,44888.0,46496.0,46984.0,48609.0,53245.0,51812.0,54534.0,56206.0,57412.0,65023.0,
"Ford County, KS",43876.0,47542.0,46668.0,46444.0,51144.0,47915.0,47175.0,50080.0,56052.0,54604.0,54442.0,
"Franklin County, KS",46965.0,46553.0,48895.0,48297.0,50745.0,51484.0,50155.0,55330.0,58033.0,55984.0,60899.0,
"Geary County, KS",43691.0,40224.0,46008.0,41048.0,41193.0,45590.0,46326.0,52012.0,50856.0,58978.0,50102.0,
"Gove County, KS",41263.0,44351.0,47114.0,48042.0,50886.0,46580.0,51445.0,47029.0,49626.0,52986.0,57676.0,
"Graham County, KS",40049.0,40903.0,45650.0,44422.0,45341.0,45018.0,42224.0,41138.0,41906.0,48912.0,47104.0,
"Grant County, KS",51460.0,54230.0,53369.0,54952.0,60279.0,59218.0,58620.0,59534.0,61614.0,65178.0,67764.0,
"Gray County, KS",51828.0,59278.0,55780.0,56615.0,58543.0,64284.0,64274.0,67671.0,65771.0,69077.0,72095.0,
"Greeley County, KS",47625.0,48606.0,50619.0,50637.0,52795.0,44667.0,47620.0,48647.0,51606.0,58492.0,66089.0,
"Greenwood County, KS",35146.0,35765.0,41382.0,35803.0,39732.0,41168.0,40518.0,40741.0,43083.0,44876.0,50399.0,
"Hamilton County, KS",42586.0,43679.0,43380.0,42263.0,47709.0,50056.0,49932.0,47454.0,51559.0,55857.0,61342.0,
"Harper County, KS",37468.0,39104.0,41399.0,43066.0,50525.0,46869.0,42023.0,44594.0,45570.0,47540.0,48275.0,
"Harvey County, KS",46941.0,50958.0,49624.0,54135.0,55074.0,55470.0,56848.0,55470.0,57934.0,62961.0,63861.0,
"Haskell County, KS",51257.0,54340.0,53430.0,53076.0,59596.0,59356.0,50514.0,54145.0,60808.0,62477.0,66053.0,
